Station,Stlat,Stlon,Wt_R,Ranef_PGA,Ranef_PGV
KBR09,26.034,39.665,0.00115074798619102,-0.24426800011257,0.00756157375066405
KBRS,25.788,39.264,0.00203252032520325,-0.576583317377971,-0.378625154725996
KBRS,25.788,39.264,0.003125,-0.576583317377971,-0.378625154725996
KBRS,25.788,39.264,0.00101936799184506,-0.576583317377971,-0.378625154725996
KHLS,22.05,39.297,0.00478468899521531,-0.305107822197259,-0.270045231403411
KHLS,22.05,39.297,0.003125,-0.305107822197259,-0.270045231403411
KHLS,22.05,39.297,0.00101936799184506,-0.305107822197259,-0.270045231403411
KNGHS,18.293,43.496,0.00101936799184506,0.33131662638875,0.219388912454908
KNGHS,18.293,43.496,0.00115074798619102,0.33131662638875,0.219388912454908
KRABS,28.101,35.255,0.003125,0.310129733102776,0.232546415741863
KRABS,28.101,35.255,0.00101936799184506,0.310129733102776,0.232546415741863
KRABS,28.101,35.255,0.00115074798619102,0.310129733102776,0.232546415741863
LNY01,25.22,37.96,0.00115074798619102,0.39122270180769,0.00551973548219322
LNY01,25.22,37.96,0.00203252032520325,0.39122270180769,0.00551973548219322
LNY01,25.22,37.96,0.003125,0.39122270180769,0.00551973548219322
LNY01,25.22,37.96,0.00101936799184506,0.39122270180769,0.00551973548219322
LNY01,25.22,37.96,0.00478468899521531,0.39122270180769,0.00551973548219322
LNY02,25.138,37.861,0.00203252032520325,-0.528930713337686,-0.750880063242241
LNY02,25.138,37.861,0.00101936799184506,-0.528930713337686,-0.750880063242241
LNY02,25.138,37.861,0.003125,-0.528930713337686,-0.750880063242241
LNY02,25.138,37.861,0.00478468899521531,-0.528930713337686,-0.750880063242241
LNY02,25.138,37.861,0.00115074798619102,-0.528930713337686,-0.750880063242241
LNY03,25.38,37.854,0.00101936799184506,0.0931006343309081,0.108251167412438
LNY03,25.38,37.854,0.00478468899521531,0.0931006343309081,0.108251167412438
LNY03,25.38,37.854,0.00115074798619102,0.0931006343309081,0.108251167412438
LNY03,25.38,37.854,0.00203252032520325,0.0931006343309081,0.108251167412438
LNY03,25.38,37.854,0.003125,0.0931006343309081,0.108251167412438
LNY04,25.272,37.645,0.00101936799184506,0.225825704790212,-0.0619423255128878
LNY04,25.272,37.645,0.00115074798619102,0.225825704790212,-0.0619423255128878
LNY04,25.272,37.645,0.003125,0.225825704790212,-0.0619423255128878
LNY05,25.046,37.695,0.003125,0.189995523365958,-0.0409942036391772
LNY05,25.046,37.695,0.00115074798619102,0.189995523365958,-0.0409942036391772
LNY05,25.046,37.695,0.00101936799184506,0.189995523365958,-0.0409942036391772
LNY06,25.21,37.778,0.00101936799184506,-0.0180250494081475,0.191014652978794
LNY06,25.21,37.778,0.00115074798619102,-0.0180250494081475,0.191014652978794
LNY08,25.033,37.85,0.00101936799184506,0.0589725879996546,-0.0457283482708303
LNY08,25.033,37.85,0.00115074798619102,0.0589725879996546,-0.0457283482708303
LNY09,25.401,37.662,0.00101936799184506,0.590077610005882,0.648993193815044
LNY09,25.401,37.662,0.00115074798619102,0.590077610005882,0.648993193815044
LNY10,25.27,37.862,0.00115074798619102,0.721498305954411,0.610405488235049
LNY10,25.27,37.862,0.00101936799184506,0.721498305954411,0.610405488235049
LNY11,25.317,37.772,0.00101936799184506,0.339267624403637,0.410806131134358
LNY11,25.317,37.772,0.00115074798619102,0.339267624403637,0.410806131134358
LNY12,25.271,37.772,0.00115074798619102,0.356017499587221,0.0532756767597751
LNY13,25.172,37.633,0.00115074798619102,0.204288991496258,0.0757289003173671
LNY15,25.261,37.797,0.00115074798619102,0.306670625619491,0.859461620938379
LNY16,25.35,37.599,0.00101936799184506,0.788283363312894,0.312564900092904
LNY16,25.35,37.599,0.00115074798619102,0.788283363312894,0.312564900092904
LNY17,25.242,37.803,0.00115074798619102,0.0320156532296298,-0.0636807800359993
LNYS,25.081,37.944,0.00203252032520325,0.32173818415913,0.18446491810122
LNYS,25.081,37.944,0.00101936799184506,0.32173818415913,0.18446491810122
LNYS,25.081,37.944,0.003125,0.32173818415913,0.18446491810122
LNYS,25.081,37.944,0.00115074798619102,0.32173818415913,0.18446491810122
LNYS,25.081,37.944,0.00478468899521531,0.32173818415913,0.18446491810122
MWLHS,27.747,35.515,0.00101936799184506,-0.38615149345332,-0.820969838852194
MWLHS,27.747,35.515,0.00115074798619102,-0.38615149345332,-0.820969838852194
NAMS,19.17,42.202,0.00478468899521531,0.186374822319109,0.0700572304907339
NAMS,19.17,42.202,0.00115074798619102,0.186374822319109,0.0700572304907339
NAMS,19.17,42.202,0.00101936799184506,0.186374822319109,0.0700572304907339
NJRNS,17.652,44.192,0.00115074798619102,0.739393737218618,0.623162202367619
NJRNS,17.652,44.192,0.00101936799184506,0.739393737218618,0.623162202367619
NSAFS,23.49,38.82,0.00115074798619102,-0.15331538922572,-0.438021086362459
OLAS,26.248,37.629,0.00101936799184506,-0.603289237042646,-0.581576625729178
OLAS,26.248,37.629,0.00115074798619102,-0.603289237042646,-0.581576625729178
QLABS,27.855,37.928,0.00101936799184506,-0.105189035460343,0.294153521264267
QLABS,27.855,37.928,0.00115074798619102,-0.105189035460343,0.294153521264267
QLBS,28.652,37.594,0.00101936799184506,-0.150462935636207,0.246342408008426
QLBS,28.652,37.594,0.00478468899521531,-0.150462935636207,0.246342408008426
QLBS,28.652,37.594,0.00203252032520325,-0.150462935636207,0.246342408008426
QLBS,28.652,37.594,0.00115074798619102,-0.150462935636207,0.246342408008426
QNF01,19.394,41.279,0.00115074798619102,-0.204742108857176,-0.0914042378301953
RHT01,24.273,39.805,0.00115074798619102,-0.352896170076142,0.0887934254815576
RHT02,24.484,40.086,0.00115074798619102,-0.214872970097262,-0.519127849880406
RHT04,23.993,39.878,0.00115074798619102,0.397844723763677,0.57341555994556
RHT05,23.909,39.161,0.00115074798619102,0.273769755243803,-0.0406189206911819
RHT06,24.376,39.192,0.00115074798619102,0.826762410120247,0.559882765666729
RHT07,24.666,39.04,0.00115074798619102,-0.0993944455668404,-0.0387835167246549
RHT08,24.709,39.543,0.00115074798619102,-0.011166002401118,-0.224331468803225
RHT09,24.785,39.915,0.00115074798619102,-0.593273507836529,-0.373709696281825
RHT11,24.916,39.691,0.00115074798619102,-0.0924877741681519,-0.18498357693995
RHT13,24.208,39.365,0.00115074798619102,0.0838451224305992,-0.124984665780435
RHT14,24.386,39.757,0.00115074798619102,0.149343188913956,0.453961641190515
RSHS,28.3,34.797,0.00115074798619102,-0.376075060382352,-0.227797565148903
RSHS,28.3,34.797,0.00478468899521531,-0.376075060382352,-0.227797565148903
RSHS,28.3,34.797,0.00101936799184506,-0.376075060382352,-0.227797565148903
SHMS,21.448,39.691,0.00115074798619102,-0.513302886266987,-0.620654181026049
TATS,19.541,43.478,0.00478468899521531,-0.474019944049276,-0.233694263683196
TATS,19.541,43.478,0.00115074798619102,-0.474019944049276,-0.233694263683196
TATS,19.541,43.478,0.00101936799184506,-0.474019944049276,-0.233694263683196
TBKS,28.229,36.55,0.00101936799184506,-0.0744936419607459,0.140229840697598
TBKS,28.229,36.55,0.00115074798619102,-0.0744936419607459,0.140229840697598
TRAS,25.06,38.567,0.00115074798619102,-0.127221926661183,-0.09214674978475
UMJS,25.232,37.311,0.00101936799184506,-0.558102911854166,-0.50948856037191
UMJS,25.232,37.311,0.003125,-0.558102911854166,-0.50948856037191
UMJS,25.232,37.311,0.00115074798619102,-0.558102911854166,-0.50948856037191
WJHS,26.732,36.393,0.00478468899521531,-0.378609946274146,-0.326330032148146
WJHS,26.732,36.393,0.00115074798619102,-0.378609946274146,-0.326330032148146
WJHS,26.732,36.393,0.00101936799184506,-0.378609946274146,-0.326330032148146
WTBKS,28.084,35.913,0.00115074798619102,0.108992384273628,-0.0816896664982107
WTBKS,28.084,35.913,0.00101936799184506,0.108992384273628,-0.0816896664982107
YNBS,24.34,37.994,0.00101936799184506,-0.694340454736164,-0.830807509768454
YNBS,24.34,37.994,0.00115074798619102,-0.694340454736164,-0.830807509768454
YOBS,24.358,38.743,0.00101936799184506,-0.29502099362753,-0.201679428179178
YOBS,24.358,38.743,0.00115074798619102,-0.29502099362753,-0.201679428179178
